SafeUSB: Implementation of Keystroke Monitoring System to Prevent BadUSB HID Injection Attack	2025 IEEE 2nd International Conference on Cryptography, Informatics and Cybersecurity (ICoCICs 2025)	2025
Comparative Analysis of eBPF-Based Runtime Security Monitoring Tools in Monitoring and Threat Detection on Kubernetes	The 1st International Conference on Research and Innovation in Information and Engineering Technology 2025 (RITECH 2025)	2025
Implementation of WireGuard and L2TP/IPSec with DNS Sinkhole Using Raspberry Pi	The 1st International Conference on Research and Innovation in Information and Engineering Technology 2025 (RITECH 2025)	2025
IoT System Design and Implementation Based on OWASP IoT Security Verification Standard	ICITISEE 2024: International Conference on Information Technology, Information Systems and Electrical Engineering	2024
Sistem Informasi E-Katalog Terintegrasi QRCode Berbasis Website untuk Pemasaran Produk Furniture	Jurnal Minfo Polgan (JMP): Jurnal & Penelitian Manajemen Informatika	2024
SIGNIN: The Digital Signature and File Verification Management Application Using Secure Rapid Application Development Approach	ICITCOM 2023: International Conference on Information Technology and Computing	2023
Comparative Analysis of Forensic Results of File Deletion Tools on Windows	IWAIIP 2023: International Workshop on Artificial Intelligence and Image Processing	2023
Investigasi Insiden Kebocoran Data Menggunakan Integrasi Melalui Pendekatan Open Source Intelligence dan Detection Maturity Level Model	Info Kripto: Jurnal Keamanan Siber dan Kriptologi	2023
Zoea Crab Larva Counter (CLARCO) Based On Image Processing With Adaptive Gaussian Filter Algorithm And Blob Detection Technique	Inspiration: Jurnal Teknologi Informasi dan Komunikasi	2023
Implementation Cryptography and Access Control on IoT-Based Warehouse Inventory Management System	MATRIK: Jurnal Manajemen, Teknik Informatika dan Rekayasa Komputer	2022
Impact Analysis of Crypto Miner Malware Attacks Using Android Debug Bridge (ADB) Vulnerabilities via TCP/IP on Android-Based Raspberry Pi 4 IoT Device	2022 International Conference on Informatics, Multimedia, Cyber and Information System (ICIMCIS)	2022
Multilayers Physical Authentication and NoSQL PRESENT algorithm for Data Center	2022 FORTEI-International Conference on Electrical Engineering (FORTEI-ICEE)	2022
Implementasi Deteksi Judul Berita Clickbait Berbahasa Indonesia dengan pre-trained model Multilingual BERT Pada Aplikasi Berbasis Chrome Extension	Jurnal Ilmiah SINUS	2022
Metode Prototype pada Sistem Informasi Manajemen Tugas Akhir Mahasiswa Berbasis Website	Jurnal Teknologi Informasi dan Komunikasi (TIKomSiN)	2022
PRESENT Algorithm and Authentication Protocol for a Secure Patient Monitoring System	6th International Workshop on Big Data and Information Security (IWBIS)	2021
Feature Selection Correlation-Based pada Prediksi Nasabah Bank Telemarketing untuk Deposito	MATRIK: Jurnal Manajemen, Teknik Informatika dan Rekayasa Komputer	2021
Sistem Informasi Manajemen Wisuda Berbasis Website Menggunakan Metode Waterfall	Jurnal Sistem dan Informatika (JSI) - Bali	2020
Backpropagation Performance Against Support Vector Machine in Detecting Tuberculosis Based on Lung X-Ray Image	1st International Conference on Materials Engineering and Management - Engineering Section (ICMEMe)	2019
Detection of Tubercolosis Disease Based on X-Ray Images Of Lung Using Artificial Neural Netrwork With Backpropagation Method	International Conference on Science (ICOS)	2017
