Kokurikuler	S1	Universitas Fajar
Pengolahan Sinyal Digital	S1	Universitas Fajar
Arsitektur Sistem Komputer	S1	Universitas Fajar
Pemograman Berbasis Web	S1	Universitas Fajar
Basis Data	S1	Universitas Fajar
Pengenalan Teknologi Informasi	S1	Universitas Fajar
Teknologi Informasi dan Komputer	S1	Universitas Fajar
Praktikum Elektronika Telekomunikasi	S1	Universitas Fajar
Praktikum Pengantar Komputer dan Teknologi Informasi	S1	Universitas Fajar
Praktikum Dasar Pemograman (C++)	S1	Universitas Fajar
Praktikum Pemograman Komouter	S1	Universitas Fajar
Arsitektur dan Organisasi Komputer	D4	Sekolah Tinggi Sandi Negara
Teknologi Multimedia	D4	Politeknik Siber dan Sandi Negara
Pengantar Teknologi Perangkat Keras Kriptografi	D4	Politeknik Siber dan Sandi Negara
Aplikasi Elektronika Optik	D4	Politeknik Siber dan Sandi Negara
Keamanan Aplikasi	D4	Politeknik Siber dan Sandi Negara
Struktur Data, Algoritma dan Pemograman	D4	Politeknik Siber dan Sandi Negara
Sistem Terdistribusi	D4	Politeknik Siber dan Sandi Negara
Keamanan Sistem Basis Data	D4	Politeknik Siber dan Sandi Negara
Elektronika Dasar	D4	Politeknik Siber dan Sandi Negara
Fundamental Keamana Jaringan	D4	Politeknik Siber dan Sandi Negara
Rancang Bangun Modul Kriptografi	D4	Politeknik Siber dan Sandi Negara
