2026	Capacity Development Project for Nurturing Cybersecurity Professionals in Indonesia	KOICA	Suwon-South Korea
2025	TRAINING MLOps Fundamentals	BrainMatics	Cibubur
2025	TRAINING Penilaian Kerentanan Keamanan SPBE	KOMDIGI	Jakarta
2024	TRAINING Sistem Manajemen Organisasi Pendidikan (SNI ISO 21001:2018)	Pusbang SDM BSSNa	Sawangan - Depok
2024	TRAINING CYBERSECURITY & AI (READY4AI&SECURITY)	Yayasan Infra Digital Nusantara	Jakarta
2023	Training Cybersecurity Operations for Corporate	Hacktrace-Spentera	Depok
2023	Training Manajemen Resiko SPBE	KOMINFO	Jakarta
2022	Training Sistem Manajemen Keamanan Informasi SNI ISO IEC 27001:2013	KOMINFO	Jakarta
2022	Training of Facilitator (ToF) Pelatihan Simulasi Keamanan Siber Smart City dan Lab Cyber Security Online Simulation Platform (CSOSP)	Pusbang SDM BSSN	Sentul - Bogor
2022	Pelatihan Pendamping Peningkatan Budaya Mutu Perguruan Tinggi (Auditor AMI PT)	IPB	Bogor
2022	Pelatihan Keamanan Aplikasi Web Berbasis OWASP TOP 10 (Pemanfaatan Cyber Security Online Simulator Platform)	Pusbang SDM BSSN	Sawangan - Depok
2019	Pelatihan Dasar Pembinaan Mental dan Pengamanan	Satinduk BAIS TNI	Bogor
